d0001	YHQ 176-band,1-ilova3-bo'lim 3.27 yo'l belgisi.
d0121	YHQ 8-bobi 50-bandi 4-xatboshiga asosan, avariya yorug'lik ishoralari quyidagi hollarda yoqilishi kerak: shatakka olishda (shatakka olingan transport vositasida). YHQ 8-bobi 52-bandiga muvofiq, shatakka olingan transport vositasida avariya yorug'lik ishoralari nosoz bo'lganda yoki bo'lmagan hollarda uning orqa tomoniga avariya sababli to'xtash belgisi o'rnatilishi kerak.
d0122	YHQ 1-ilovasining 3-bo'limi 11-xatboshiga asosan, 3.27 belgisi 1.4 yotiq chizig'i bilan birgalikda, 3.28 belgisi esa 1.10 yotiq chizig'i bilan birgalikda qo'llanishi mumkin, bunda belgilarga amal qilish chiziqlar uzunligi bilan aniqlanadi.
d0123	YHQ 3-ilovasining 5-bo'limi 5.1-bandiga asosan, transport vositalaridan foydalanishni taqiqlovchi shartlar - M1, N1, O1, O2 toifali transport vositalari shinalari protektori naqshlarining qoldiq balandligi 1,6 mm.dan kam bo'lsa.
d0124	YHQ 1-ilovasining 1-bo'limiga asosan, aholi punktlaridan tashqarida 1.1, 1.2, 1.9, 1.10, 1.21 va 1.23 belgilari takrorlanadi. Ikkinchi belgi yo'lning xavfli qismi boshlanishiga kamida 50 metr qolganda o'rnatiladi.
d0125	YHQ 62-band.
d0126	YHQ 9-bobi 55-bandi 1-xatboshiga asosan, haydovchi qayta tizilishda yon bo'lakda yo'lakay harakat yo'nalishini o'zgartirmasdan ketayotgan transport vositalariga yo'l berishi kerak.
d0127	YHQ 13-band.
d0128	YHQ 1-ilovasining 7-bo'limidagi 7.2.1 qo'shimcha belgiga asosan, "Ta'sir oralig'i" belgisi ogohlantiruvchi, taqiqlovchi, buyuruvchi, axborot-ishora belgilarining ta'sir oralig'ini ko'rsatadi. Ogohlantiruvchi, taqiqlovchi, buyuruvchi, axborot-ishora yo'l belgilarining tagida mazkur yo'l belgisining ta'sir oralig'ini ko'rsatuvchi 7.2.1 qo'shimcha axborot belgisi o'rnatilgan bo'lsa, yo'l belgilarining ta'sir oralig'i oxirini ko'rsatuvchi yo'l belgisi o'rnatilishi shart emas.
d0129	YHQ 1-ilova 4-bo'lim 4.2.2 yo'l belgisi.
d0130	Yu.V.Bashuev.K.A.Karimova 24 bet. Ishlayotgan tormozning birdan ishdan chiqishi holati alomatlari ko'p: avtomobil tezligi, to'xtab turish tormozining ishlash qobiliyati, harakat oqimining zichligi, yo'l kengligi, piyodalar, ko'kalamzorlashtirilgan joylar, qurilayotgan imoratlarning zichligi, qarama-qarshi yo'nalishda kelayotgan transport vositalarining zichligi va boshqalar. Shuningdek, ko'pgina to'xtamlarga kelish mumkin. "Tormoz ishlamay qolganda nima qilish kerak?" degan savolga barcha holatlarga to'g'ri keladigan javob berib bo'lmaydi. Shunday qilib, xavfli vaziyatda eng asosiy narsa bu: o'ziga ishonish va osoyishtalikni saqlash; kelib chiqqan holatni tezda baholash; inson hayotiga xavf-xatar solmaydigan va ziyon etkazmaydigan qaror qabul qilish va qabul qilingan qarorni amalga oshirayotgan vaqtda vaziyatning o'zgarishi natijasida taktikani o'zgartirishga tayyor turish.
d0131	YHQ 9 bob62-bandiga asosan, piyodalarning o'tish joylarida qayrilib olish taqiqlanadi.
d0132	YHQ 3-ilova 5.1-band.
d0133	YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. YHQ 6-bobi 29-bandiga asosan, zarg'aldoq yoki sariq rangli chiroq-mayoqchasi yoqilgan transport vositasi haydovchilari yo'l qurulishi ta'mirlanishi va tozalanishi jarayonida xamda texnik shikastlangan, nosoz bo'lgan, shuningdek qonunda ko'zda tutilgan hollarda boshqa transport vositalarini ortishda yo'l harakati xavfsizligini ta'minlash sharti bilan, Qoidalar Yo'l belgilari (2.2, 2.4.-2.6,3.11.-3.14,3.17.2,3.20 yo'l belgilaridan tashqari) yo'l chiziqlari hamda 67-71 va 121 bandlari talablaridan chetga chiqishlari mumkin.
d0134	YHQ 1-ilova 5-bo'lim 5.7.1, 5.7.2 yo'l belgilari. rasmdagi 4-belgi o'rniga bu belgini qo'yish
d0135	YHQ 2-ilova 1-bo'lim 1.11 yotiq chizig'i.
d0136	YHQ 18-bobi 118-bandiga asosan, temir yo'l kesishmasiga kirish quyidagi hollarda taqiqlanadi: shlagbaumning bor-yo'qligidan, uning holatidan qat'iy nazar, svetoforning taqiqlovchi ishorasida.
d0137	V.I.Konoplyanko 8 bet. Haydovchi, yo'lovchilar hamda mahkamlanmagan yuk birdan tormozlash, to'qnashuv yoki avtomobilning keskin to'xtashidan keyin avtomobil to'xtashidan oldin mavjud harakat tezligini saqlagan holda harakatda davom etadilar. Aynan shu vaqtda jarohatlarning ko'pgina qismi boshning old peshoynaga, ko'krak qismining rul chambaragi va rul kolonkasiga, tizzaning asboblar o'rnatilgan shchit qirrasiga urilishi natijasida yuzaga keladi. Yuk siljishi natijasida avtomobil muvozanatini yo'qotib, ag'darilishi mumkin. Shu bois, harakatdan oldin haydovchi va yo'lovchilar xavfsizlik kamarini taqishi, yuk mahkamlanishi lozim.
d0138	YHQ 163-band.
d0139	YHQ 2-ilovasining 1-bo'limi 1.14.2 (zebra) chizig'i - tartibga solinmagan va solingan piyodalarning o'tish joyini belgilaydi. Belgining ishorali yo'naltirgichlari piyodalarning harakatlanish yo'nalishini ko'rsatadi.
d0140	Yu.V.Bashuev.K.A.Karimova str.25 Sirpanchiq yo'lda surilish hollari avtomobil g'ildiraklarining shataksirashi (joyida aylanishi) natijasida harakatning birdan tezlashishidan kelib chiqadi. Bu holda surilish sabablarini bartaraf qilish, ya'ni yonilg'i o'tishini boshqaruvchi tepkisini (drossel zaslonkasi keskin ochilishi g'ildiraklarni joyida aylanishiga olib keladi) bosishni kamaytirish lozim.
d0141	YHQ 26-band.
d0142	YHQ 1-ilovasining 7-bo'limi 7.19 belgisi yo'l harakati qatnashchilarining harakatlari maxsus avtomatlashtirilgan foto va video qayd etish texnika vositalari orqali qayd etilayotganligini bildiradi.
d0143	YHQ 2-ilovasining 1-bo'limi 1.11 chizig'iga asosan, 1.11 chizig'ini uzuq-uzuq tomondan, shuningdek, sidirg'a chiziq tomonidan esa faqat quvib yoki chetlab o'tishni tugatayotganda bosib o'tishga ruxsat etiladi.
d0144	YHQ 104, 106-bandlar.
d0145	YHQ 51, 93, 136-bandlari.
d0146	YHQ 1-ilovasining 3-bo'limi 3.19 belgi talabiga asosan, faqat qayrilish taqiqlanadi.
d0147	YHQ 140-band.
d0148	YHQ 3-ilovasining 5-bo'limi 5.3-bandiga asosan, transport vositalaridan foydalanishni taqiqlovchi shartlar: qo'shaloq shinalar orasiga xavf-xatar tug'diruvchi begona jismlar tiqilib qolganda.
d0149	YHQ 14-bobi 97-bandiga asosan, tirbandlik tufayli to'xtashga majbur bo'lgan haydovchi, agar u ko'ndalang yo'nalishdagi transport vositalarining harakatlanishiga to'sqinlik tug'diradigan bo'lsa, uning chorraha yoki qatnov qismlari kesishmasiga kirishi taqiqlanadi.
d0150	YHQ 1-ilova 4-bo'lim 4.1.1 yo'l belgisi.
d0151	YHQ 1-ilovasining 4-bo'limidagi 4.7 belgiga asosan, "Eng kam tezlik" belgisi faqat unda ko'rsatilgan yoki undan yuqori tezlikda (km/soat) harakatlanishga ruxsat etiladi.
d0152	Konoplyanko V.I. 13 bet To'xtash yo'liga haydovchining xavf-xatarni sezgan vaqtidan boshlab transport vositasining butunlay to'xtagunga qadar yurib o'tgan masofasi tushuniladi. To'xtash yo'li doim tormoz yo'lidan ko'proq bo'ladi, chunki tormozlanish boshlanishidan avval transport vositasi haydovchining reaktsiya vaqti va tormoz uzatmasining ishlab ketish vaqtiga bog'liq bo'lgan masofadan o'tib oladi.
d0153	YHQ 159-band.
d0154	YHQ 1-ilovasining 3-bo'limidagi 3.9 belgiga asosan, "Velosipedda harakatlanish taqiqlangan". Velosiped va mopedlarning harakatlanishi taqiqlanishini bildiradi.
d0155	YHQ 22-bobi 132-bandiga asosan, agar bu bo'lak 5.9 belgisi bilan belgilangan va yo'l qatnov qismi boshqa joyidan uzuq-uzuq chiziq bilan ajratilgan bo'lsa, burilmoqchi bo'layotgan transport vositalari bu bo'lakka qayta tizilishlari kerak. Shuningdek, bunday joylarda belgilangan yo'nalishdagi transport vositalarining harakatiga xalaqit bermaslik sharti bilan yo'lga chiqish, qatnov qismining chetki o'ng tomonida yo'lovchilarni chiqarish va tushirish uchun bu bo'lakka o'tishga ruxsat etiladi.
d0156	YHQ 109-band.
d0157	YHQ 104, 106-bandlari.
d0158	E.V.Bocharov 40-48 bet. Burilishlarda yo'lovchisi va yuki bo'lmagan avtomobillar ko'proq muvozanat saqlab qoladi, chunki bunday avtomobilda og'irlik markazi eng past joylashgan bo'lib, eng kam ag'darilish ehtimoliga ega bo'ladi.
d0159	YHQ 55-band.
d0160	YHQ 24-bobi 145-bandi 1-xatboshiga asosan, shatakka olish quyidagi hollarda taqiqlanadi: rul boshqaruvi ishlamayotgan transport vositalarini (qisman ortish usuli bilan shatakka olish bundan mustasno).
d0161	YHQ 15-band.
d0162	YHQ 2-ilovasining 1-bo'limidagi 1.19 chizig'iga asosan, harakatlanish qismining toraygan (shu yo'nalishdagi harakatlanish bo'laklarining soni kamaygan) joyiga yoki qarama-qarshi yo'nalishdan kelayotgan transport vositalari oqimlarini ajratuvchi 1.1 yoki 1.11 chizig'iga yaqinlashganlik haqida ogohlantiruvchi chizig'i. Birinchi holda 1.18.1-1.18.3 yo'l belgilari bilan qo'llanilishi mumkin.
d0163	YHQ 18-bobi 120-bandi 5-xatboshiga asosan, to'xtash ishorasi qo'lni (kunduzi yorqin mato parchasi yoki aniq ko'rinadigan biror narsa bilan, tunda esa mash'ala yoki chiroq bilan) gir aylantirish orqali beriladi.
d0164	YHQ 9-bobi 55-bandiga asosan, yo'lakay yo'nalishda harakatlanayotgan transport vositalari bir vaqtda qayta tizilayotganda, haydovchi o'ng tomondagi transport vositasiga yo'l berishi kerak.
d0165	YHQ 169-band.
d0166	YHQ 22-band.
d0167	YHQ 1-ilovasining 5-bo'limi 5.11.1 belgisiga asosan, "Qayrilib olish joyi". Chapga burilish taqiqlanadi
d0168	YHQ 137-band.
d0169	YHQ 66-band.
d0170	V.I.Konoplyanko str.12-16 Tormoz yo'lining kamayishi blokirovka chegarasida erishiladi, chunki blokirovka qilingan g'ildiraklar aylanmay (sirg'anib to'xtash) yo'lda sirg'anadi va tormoz yo'lini uzaytiradi.
d0171	YHQ 12-band, 3-ilova 6.2-band.
d0172	YHQ 24-bobi 145-bandi 6-xatboshiga asosan, shatakka olish quyidagi hollarda taqiqlanadi: yo'l yaxmalak, sirpanchiq bo'lgan hollarda egiluvchan ulagichda.
d0173	YHQ 1-ilova 3-bo'lim 3.22 yo'l belgisi.
d0174	YHQ 2-ilovasi 1-bo'lim 1.9-bandiga asosan chiziq, reversiv harakat tashkil etilgan bo'laklarning chegarasini belgilaydi. Reversiv harakatlanish amalga oshirilgan yo'llarda (reversiv svetofori o'chirilgan holatda) qarama-qarshi yo'nalishdagi transport oqimini ajratadi.
d0175	YHQ 118-band.
d0176	YHQ 73-band.
d0177	YHQ 82-band.
d0178	YHQ 50, 93-bandlar.
d0179	V.I.Konoplyanko str.12-16 Inertsiya kuchi ta'siri ostida avtomobilni tormozlash vaqtida o'qlarga tushadigan inertsiya kuchi miqdorining taqsimlanishi o'zgaradi. Natijada old o'qqa og'irlik ko'payadi, orqa o'qqa nisbatan kamayadi. Tormozlash intensivligi qanchalik baland bo'lsa, o'qlarga tushadigan og'irlik miqdorining taqsimlanishi sezilarliroq bo'ladi. Orqa o'qda og'irlik kamayishi bilan g'ildirakni yo'lga bosish kuchi kamayadi; shunday ekan g'ildirakning sirg'anish (aylanmasdan siljish) va avtomobilning surilib ketishi ehtimoli yuzaga keladi. Old o'qda og'irlik ko'payishi g'ildirakni yo'lga bosish kuchini ko'paytiradi, shunda sirg'anish ehtimoli kamayadi.
d0180	YHQ 2-bobi 8-bandiga asosan, tegishli toifadagi transport vositasini boshqarish huquqini beruvchi haydovchilik guvohnomasiga, uning taloniga, vaqtinchalik ruxsatnomasiga ega bo'lgan shaxs, o'ziga tegishli bo'lmagan transport vositasini, uni egasi yonida bo'lganda yoxud tasarruf etish huquqini beruvchi yoki egalik qilishga, foydalanishga berilganligini tasdiqlovchi xujjatlari bo'lgan shaxs ishtirokidagina (ular roziligi bilan) boshqarish mumkin, agar transport vositalari egalarining fuqarolik javobgarligini majburiy sug'urta qilish bo'yicha shartnoma ushbu transport vositasidan cheklanmagan shaxslarning foydalanishini hisobga olgan holda tuzilgan yoki transport vositasini boshqarayotgan shaxs sug'urta polisida ko'rsatilgan bo'lsa.
d0181	YHQ 1-ilova 3-bo'lim 3.7 yo'l belgisi.
d0182	YHQ 2-ilova 1-bo'lim 1.13 yotiq chizig'i
d0183	YHQ 79-band.
d0184	Yu.V.Bashuev.K.A.Karimova 33 bet. Yod nastoykasi jarohat ichida to'qimaning kimyoviy shikastlanishiga olib keladi. Ushbu qorishma surtilganda terining tashqi qatlami shikastlanmaydi, balki foydali ravishda dezinfektsiya qilinadi va bu jarayonni bog'lashdan avval amalga oshirish kerak.
d0185	YHQ 138, 156-bandlari.
d0186	YHQ 26, 105-bandlari.
d0187	YHQ 1-ilovasining 1-bo'limidagi 1.22 belgi "Velosiped yo'lkasi bilan kesishuv"ni bildiradi.
d0188	YHQ 18-bobi 119-bandiga asosan, kesishma orqali harakatlanish taqiqlangan hollarda haydovchi to'xtash chizig'i, 2.5 yo'l belgisi yoki svetofor oldida, ular bo'lmaganda shlagbaumgacha kamida 5 metr, shlagbaum bo'lmaganda esa birinchi temir yo'l iziga kamida 10 metr qolganda to'xtashi kerak.
d0189	YHQ 3-ilova 7.1-band.
d0190	YHQ 1-ilovasining 4-bo'limidagi 4.7 belgi talabiga asosan, "Eng kam tezlik" faqat belgida ko'rsatilgan yoki undan yuqori tezlikda (km/soat) harakatlanishga ruxsat etiladi.
d0191	YHQ 48-band.
d0192	YHQ 20-bobi 126-bandiga asosan, turar-joy dahalaridan chiqishda haydovchilar boshqa harakat qatnashchilariga yo'l berishlari kerak.
d0193	YHQ 154-band.
d0194	YHQ 2-ilovasining 1-bo'limidagi 1.23 chizig'i faqat yo'nalishli transport vositalari uchun mo'ljallangan bo'lakni bildiradi.
d0195	YHQ 32-band.
d0196	E.V.Bocharov 40-44 bet.Burilishda o'tayotgan vaqtda haydovchi shuni inobatga olishi lozimki, avtomobil harakati tezligi kattalashganida markazdan qochma kuch ortadi va transport vositasini ag'darilishiga olib kelishi mumkin.
d0197	YHQ 128-band.
d0198	YHQ 1-ilova 3-bo'lim 3.28 yo'l belgisi.
d0199	E.V.Bocharov str.40-44 Avtopoezd bilan bir vaqtda burilishni o'tayotganda ushbu trasport vositasigacha bo'lgan yon oraliq masofasini ko'paytirishingiz lozim, chunki avtopoezd (tirkama)ning orqa g'ildiraklari burilish markazi tomon siljiydi va avtopoezd harakat bo'lagi kattalashadi.
d0200	YHQ 1-ilova 7-bo'lim 7.18 yo'l belgisi.
d0201	YHQ 1-ilova 1-bo'lim 1.11.2 yo'l belgisi.
d0202	YHQ 19-bo'limi 121-bandi 6-xatboshiga asosan, avtomagistrallarda quyidagilar taqiqlanadi: transport vositasini o'rganish uchun boshqarish taqiqlanadi.
d0203	Yu.V.Bashuev.K.A.Karimova str.27 Keskin tormoz berish - bu birdan paydo bo'lgan yoki kech ko'rib qolingan to'siqqa kelib urilishning oldini olish uchun katta intensivlik (jadallik) bilan tormoz berish tushuniladi. Shu bois, masalan yosh bolaning yo'lda birdan paydo bo'lish ehtimolini inobatga olgan holda haydovchi keskin tormoz berish vaqtida o'zini qanday tuta olishini bilishi lozim. Bunda quyidagi usullar mavjud: rul chambaragini ikki qo'lingiz bilan mahkam ushlang; avtomobil g'ildiraklarini blokirovka qilmang, chunki g'ildiraklarning uzunasiga sirg'alishi tormoz yo'lini qisqartirmaydi; harakatda to'xtab turish tormozini qo'llamang, chunki bu hol orqa g'ildiraklarning sirg'alishini kuchaytirishi mumkin. Tormoz tepkisini qattiq (shiddat bilan emas) va ravon, shinaning yo'lga nisbatan ilashishiga qarab, kuchaytirib bosish darkor. Keskin tormoz berish vaqtida ham avtomobil ustidan nazoratni yo'qotmang.
d0204	YHQ 1-ilova 1-bo'lim 1.10 yo'l belgisi.
d0205	YHQ 104, 107-bandlar.
d0206	YHQ 77-band.
d0207	YHQ 1-ilova 7-bo'lim 7.6.1 yo'l belgisi.
d0208	YHQ 159-band
d0209	YHQ 5-bobi 24-bandi 1-xatboshiga asosan, yo'lovchilarga transport vositasi harakatlanayotgan vaqtda haydovchini boshqarishdan chalg'itish va unga halaqit berish taqiqlanadi
d0210	YHQ 2-ilova 1-bo'lim 1.4, 1.10, 1.17 yotiq chiziqlari.
d0211	YHQ 2-ilova 1-bo'lim 1.8 yotiq chizig'i.
d0212	E.V.Bocharov str.22-25 O'zining tormoz tizimi mavjud bo'lmagan tirkamani ulash vaqtida ulangan transport vositalarining umumiy vazni kattalashgani bois avtomobilning tormoz yo'li ortadi. Avtopoezdni faqat yo'lning to'g'ri uchastkalarda to'xtatish mumkin, bunda uning to'liq vazni bir chiziqda bo'lishi kerak. Aylana yo'lda shatakchi avtomobilning ag'darilishi, yo'l chetidagi ariqqa chiqib ketishi yoki shatakchi moslamaning ishdan chiqishiga olib keluvchi tirkamaning surilib ketishi yoki avtopoezdning buklanishi yuzaga kelishi mumkin.
d0213	YHQ 2-ilova 1-bo'lim 1.16.1-1.16.3 yotiq chiziqlari.
d0214	YHQ 1-ilova 5-bo'lim 5.8.1 yo'l belgisi.
d0215	YHQ 79, 80-bandlari.
d0216	YHQ 69-band.
d0217	V.I.Konoplyanko 39-40 str. Haydovchi toliqishining o'ziga xos alomatlariga uyqu kelishi, lanjlik va diqqatning pasayishi kiradi. Bu holatda transport vositasini boshqarish xavfli bo'lganligi bois, taqiqlangan.
d0218	YHQ 1-ilova 1-bo'lim 1.23 yo'l belgisi, 7-bo'lim 7.12 yo'l belgisi
d0219	YHQ 2-ilova 1-bo'lim 1.6 yotiq chizig'i.
d0220	YHQ 17-bobi 114-bandiga asosan, agar yo'lovchilarni tushirish yoki chiqarish qatnov qismida yoki unda joylashgan maydonchada amalga oshirilayotgan bo'lsa, haydovchilar bekatda to'xtagan belgilangan yo'nalishdagi transport vositasiga chiqish uchun borayotgan yoki undan kelayotgan piyodalarga yo'l berishi kerak.
d0221	YHQ 15-bobi 101-bandiga asosan, agar svetofor yoki tartibga soluvchining ishoralari tramvay va relssiz transport vositalariga bir vaqtda harakatlanishga ruxsat bersa, harakatlanish yo'nalishidan qat'iy nazar, tramvay oldin o'tish huquqiga ega bo'ladi.
d0222	YHQ 103-band
d0223	YHQ 21-band.
d0224	YHQ 1-ilova 7-bo'lim 7.2.1 yo'l belgisi.
d0225	YHQ 16-bobi 105-bandiga muvofiq, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'iy nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi.
d0226	YHQ 81-band.
d0227	Yu.V.Bashuev.K.A.Karimova str.33 Bosh miya suyagi shikastlangan jabrlanuvchi faqat maxsus jihozlangan tez tibbiy yordam yoki qutqarish xizmati avtomobillarida tashiladi.
d0228	YHQ 63, 121-bandlari.
d0229	E.V.Bocharov str.33 Yo'l-transport hodisasining oldini olish zaruriyati bo'lmaganda keskin tormoz berish taqiqlanadi.
d0230	YHQ 23-band.
d0231	YHQ 2-ilova 1-bo'lim 1.18 yotiq chizig'i.
d0232	YHQ 32-band. O'z Res Konstitutsiyasi 20-modda.
d0233	YHQ 117-band.
d0234	YHQ 11-bobining 79-bandi 3-xatboshisiga muvofiq, aholi punktlaridan tashqarida - boshqa avtobuslar, tirkamali engil avtomobillar, mototsikllar, ruxsat etilgan to'la vazni 3,5 tonnadan ortiq bo'lgan yuk avtomobillariga tezlikni soatiga 80 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi
d0235	YHQ 1-ilova 3-bo'lim 3.28 yo'l belgisi va YHQ 88-band.
d0236	YHQ 1-ilova 3-bo'lim 3.4 yo'l belgisi.
d0237	YHQ 106-band.
d0238	YHQ 22-bobi 133-bandiga asosan, haydovchilar aholi punktlarida bekatdan harakatlanishni boshlayotgan avtobus va trolleybuslarga yo'l berishlari kerak. O'z navbatida avtobus va trolleybus haydovchilari o'zlariga yo'l berilganligiga ishonch hosil qilganliklaridan keyingina harakatlanishni boshlashlari mumkin.
d0239	YHQ 1-ilova 3-bo'lim 3.28 yo'l belgisi va YHQ 92-band.
d0240	E.V.Bocharov str.33 Keskin tormoz berish oqibatida blokirovka bo'lgan g'ildiraklarga rul chambaragining burilishi ta'sir qilmaydi. Sirpanchiq yo'lda dvigatel orqali, g'ildiraklarni blokirovka qilmasdan tormoz berish samarali tormoz berishga yordam beradi.
d0241	YHQ 26, 104, 106-bandlari.
d0242	YHQ 96-band.
d0243	YHQ 15-bobi 99, 101-bandlariga asosan, svetoforning yashil ishorasida chapga burilayotgan yoki qayrilib olayotgan relssiz transport vositasining haydovchisi qarama-qarshi tomondan to'g'riga harakatlanayotgan va o'ngga burilayotgan transport vositalariga yo'l berishi shart. Tramvay haydovchilari ham o'zaro ushbu qoidaga amal qilishlari kerak. Agar svetofor yoki tartibga soluvchining ishoralari tramvay va relssiz transport vositalariga bir vaqtda harakatlanishga ruxsat bersa, harakatlanish yo'nalishidan qat'iy nazar, tramvay oldin o'tish huquqiga ega bo'ladi.
d0244	YHQ 112-band.
d0245	V.I.Konoplyanko str.76 Suv kechuvlaridan o'tgandan keyin, tormoz kolodkalarini quritish joiz. Tormoz tepkisini ko'p marotaba qisqa-qisqa bosish avtomobilning barcha g'ildiraklari tormozlarining samaradorligini qayta tiklaydi.
d0246	YHQ 1-ilova 3-bo'lim 3.27 yo'l belgisi, 7-bo'lim 7.18 yo'l belgisi.
d0247	YHQ 1-ilova 3-bo'lim 3.31 yo'l belgisi.
d0248	YHQ 1-ilova 4-bo'lim 4.1.1 yo'l belgisi, 5-bo'lim 5.5 yo'l belgisi.
d0249	Yu.V.Bashuev.K.A.Karimova str.34 Suyak siniqlarining bir biriga nisbatan qo'zg'almasligini ta'minlash uchun ko'krak qafasiga bog'ich tarang qilib bog'lanadi. Bu holda nafas olish o'tirgan holatda erkin bo'lgan ko'krak-qursoq diafragma pardasi harakatlari hisobiga amalga oshiriladi.
d0250	YHQ 64-band.
d0251	V.I.Konoplyanko str.58-59 Tuproqli yo'lda chuqur qor bo'ylab oldindan tanlangan pastki uzatmada rul chambaragini keskin burmasdan va to'xtamasdan harakatda bo'lish ushbu uchastkada yuzaga keluvchi katta qarshilik kuchini bartaraf qilish uchun zarur bo'lgan quvvat zapasi bilan ta'minlaydi.
d0252	YHQ 2-ilova 1-bo'lim 1.16.2 yotiq chizig'i va 1.1 yotiq chizig'i.
d0253	YHQ 84-band.
d0254	YHQ 8-bobi 46-bandi 1-xatboshisiga asosan, burilish ko'rsatgichi yoki qo'l bilan berilayotgan ishora manyovrni bajarishdan oldinroq berilishi va uni tugallagach darhol to'xtatilishi lozim biroq, qo'l bilan berilayotgan ishorani manyovr qilishdan bevosita oldin tugallash mumkin.
d0255	YHQ 29-bobi 176-bandida berilgan 1-izohga asosan, "Avtopoezd" - yuk avtomobillari va g'ildirakli traktor (1,4 tonna va undan yuqori)larda tirkama bo'lganda, shuningdek, tutashtirilgan avtobus va trolleybus kabinalari tomining old qismi o'rtasiga bir qator qilib 150 mm.dan 300 mm.gacha oraliqda ko'ndalang joylashgan uchta zarg'aldoq rangli chiroq yoki ichidan yoritiladigan, tomonlarning har biri 250 mm bo'lgan sariq rangli uchburchak shaklidagi belgi.
d0256	YHQ 2-ilova 1-bo'lim 1.12 yotiq chizig'i.
d0257	YHQ 115-band.
d0258	YHQ 80-band.
d0259	YHQ 9-bobi 55-bandiga asosan, haydovchi qayta tizilishda yon bo'lakda harakat yo'nalishini o'zgartirmasdan harakatlanayotgan transport vositalariga yo'l berishi kerak.
d0260	YHQ 1-ilova 4-bo'lim 4.4 yo'l belgisi.
d0261	YHQ 1-ilovaning 5-bo'limidagi 5.29.1 "Yo'l raqami" belgisi.
d0262	YHQ 19-bobi 121-bandi 4-xatboshiga asosan, avtomagistrallarda quyidagilar taqiqlanadi: ajratuvchi bo'lakning texnologik uzilish joylariga kirish va qayrilib olish.
d0263	YHQ 8-bobi 45-bandiga asosan, harakatlanishni boshlashdan, qayta tizilishdan, burilish (qayrilib olish)dan va to'xtashdan oldin haydovchi tegishli yo'nalishni bildiruvchi burilish yorug'lik ko'rsatgichi, ular bo'lmaganda yoki nosoz bo'lganda qo'l bilan ishora qilishi shart.
d0264	YHQ 1-ilova 4-bo'lim 4.1.4 yo'l belgisi.
d0265	YHQ 7-bobi 38-bandiga muvofiq, tartibga soluvchining QO'LLARI YoN TOMONGA UZATILGANDA YoKI TUShIRILGANDA, chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat beriladi. Oldi va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi; O'NG QO'LI OLDINGA UZATILGANDA, chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda, oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat beriladi. Orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi. Piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi.
d0266	YHQ 46-band.
d0267	V.I.Konoplyanko str.65 Burilishdan o'tayotgan haydovchi shuni inobatga olishi lozimki, avtomobil harakati tezligi kattalashganida markazdan qochma kuch tezlik kvadratiga mos ravishda ortadi va transport vositasining ag'darilishiga olib kelishi mumkin.
d0268	YHQ 1-ilovasining 4-bo'limidagi 4.1.3 belgi "Harakatlanish chapga" - faqat yo'naltirgichlar ko'rsatgan tomonga harakatlanishga ruxsat etiladi.
d0269	YHQ 133-band.
d0270	YHQ 38-band.
d0271	YHQ 66, 86-bandlari.
d0272	V.I.Konoplyanko str.11-12 str. Sirpanchiq yo'lda to'xtatish tepkisini uzuq-uzuq bosib, uzatma va ilashish mexanizmini ajratmagan, dvigatel bilan tormozlanishni ishlatgan hamda g'ildiraklarning blokirovkasi (sirg'anish)ga yo'l qo'ymagan holda to'xtatish lozim.
d0273	YHQ 1-ilova 3-bo'lim 3.17.1 yo'l belgisi.
d0274	YHQ 113-band.
d0275	YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining QO'LLARI YoN TOMONGA UZATILGANDA YoKI TUShIRILGANDA, chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat beriladi. Oldi va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi.
d0276	YHQ 88, 91-bandlari.
d0277	YHQ 59-band.
d0278	YHQ 31-band.
