o0001	Qizilga
o0470	1,0 mm
o0471	2,0 mm
o0472	2,5 mm
o0473	To'xtashi kerak va tramvay eshiklarini yopganidan so'ng qo'zg'alish kerak
o0474	To'xtab turgan tramvayga ketayotgan yoki undan tushayotgan yo'lovchilarga yo'l berishi kerak
o0475	Yaqinni yoki uzoqni yorituvchi chiroqlar
o0476	Faqat yaqinni yorituvchi chiroqlar
o0477	Faqat uzoqni yorituvchi chiroqlar
o0478	Piyodalar o'tish joylarida
o0479	Tunnellarda
o0480	Ko'priklarda, osma yo'llarda, estakadalarda va ularning ostida
o0481	Temir yo'l kesishmalarida
o0482	Bir xil yo'nalishda to'g'riga harakatlanayotgan ko'k avtomobilga yo'l berishi kerak
o0483	Ko'k avtomobilga nisbatan ustunlikka ega, chunki quvib o'tish uchun mo'ljallangan tasmadan ketyapti
o0484	Ustunlikka ega, chunki burilish ishorasini yoqdi
o0485	Shatakka olgan va shatakka olingan avtomobillarning yukxonasida ruxsat beriladi
o0486	Faqat shatakka olingan avtomobil yukxonasida ruxsat beriladi
o0487	Faqat shatakka olgan avtomobil yukxonasida ruxsat beriladi
o0488	Shinalarning ayrim joylarida kord ko'rinib qoladigan nuqsonlari bor
o0489	M1 toifadagi avtotransport vositalarining oldingi o'qiga ikkinchi klassdagi ta'mirlangan shinalar o'rnatilgan
o0490	N2; N3 toifadagi transport vositalari shinalari protektori naqshining qoldiq balandligi 1,6 mm ni tashkil qiladi
o0491	Hodisa sodir bo'lgan joyda to'xtash, guvohlarning ismi-sharifini va manzilgohini yozib olish, hodisa haqida IIO xodimlariga xabar berish, shikastlanganlarga shifokor kelguncha tibbiy yordam berish uchun choralar ko'rish
o0492	Darhol to'xtash va hodisa sodir bo'lgan joyda qolish, majburiy to'xtash yoritgichini yoqish va falokat sababi to'xtash belgisini o'rnatish
o0493	To'xtash va hodisaga tegishli izlarni saqlash, ularning atrofini to'sib, hodisa sodir bo'lgan joyni aylanib o'tishni tashkil etish uchun hamma mumkin bo'lgan choralarni ko'rish, IIOga xabar berish, tibbiy yordam berish
o0494	Belgidan birinchi burilishning boshlanishigacha bo'lgan masofani
o0495	Birinchi burilishdan ikkinchi burilishning boshlanishigacha bo'lgan masofani
o0496	Yo'lning xavfli burilishlari bo'lgan qatnov qismi uzunligini
o0497	Velosiped haydovchisi
o0498	Eng past uzatmaga o'tish, to'xtab turish tormozi bilan tormozlash. Zarur bo'lganda biron-bir to'siqdan foydalanish
o0499	Ulagichni ajratish va to'xtab turish tormozi bilan keskin tormozlash
o0500	Chorrahaga 15 metrdan yaqinroqda
o0501	Tartibga solinmaydigan chorrahalarda, agar kesib o'tilayotgan yo'lda bir tomonlama harakatlanish tashkil etilgan bo'lsa
o0502	Kunning qorong'i vaqtida, gabarit chiroqlari
o0503	Yaqinni yorituvchi fara chiroqlari
o0504	Falokat yorug'lik ishoralari
o0505	Yaradan 10 -15 sm pastga
o0506	Yaradan 10 -15 sm yuqoriga
o0507	Bevosita yaraning o'ziga
o0508	0,5 mm
o0509	Yo'l xizmati mashinasining haydovchisi
o0510	Birinchi va beshinchi
o0511	Uchinchi va beshinchi
o0512	Ikkinchi va to'rtinchi
o0513	"А" yo'nalishida
o0514	"Б" yo'nalishida
o0515	"В" yo'nalishida
o0516	"А", "Б" va "В" yo'nalishlarida
o0517	"Б" va "В" yo'nalishlarida
o0518	Svetoforning taqiqlovchi ishorasida shlagbaum ochiq turgan holatda
o0519	Qishloq xo'jaligi mashinasini mexanik transport vositasiga yuklab olib o'tish holatida
o0520	Tezligi 8 km/s dan ko'p bo'lgan transport vositalari
o0521	Qizil, yashil, ko'k
o0522	Ko'k, qizil, yashil
o0523	Uchchalasi bir vaqtda
o0524	Faqat tezlikni keskin oshirish
o0525	Faqat keskin tormozlash
o0526	Tezlikni keskin oshirish va keskin tormozlash
o0527	"Katta o'lchamli yuk" diagonali bo'yicha qizil va oq chiziqlari bo'lgan taxtacha yoki bayroqchalar bilan
o0528	Qizil bayroqchalar bilan
o0529	Oq bayroqchalar bilan
o0530	Maxsus piyodalar yo'lkasini bildiradi
o0531	Velosiped yo'lkasini bildiradi, chiziq yo'naltirgichlari tasmalar bo'yicha harakat yo'nalishini ko'rsatadi
o0532	Piyodalar o'tish joyini bildiradi,chiziq yo'naltirgichlari piyodalar harakatlanish yo'nalishini ko'rsatadi
o0533	Karbyurator qismlari ishdan chiqishiga
o0534	Yurgizgich ishlashdan to'xtab qolishiga
o0535	Avtomobilning yonga sirpanib ketishiga
o0536	20 kishidan ortiq emas
o0537	Tashilayotgan odamlar soni o'tirish uchun jihozlangan o'rinlar miqdoridan ortiq bo'lmasligi kerak
o0538	Ma'muriyatning ko'rsatmasiga ko'ra
o0539	Yo'l yoqasida yoki qatnov qismining chetida to'xtash
o0540	Mayoqcha ishorasi yoqilgan transport vositasiga xalaqit bermasdan yo'l chetidan harakatlanish
o0541	Belgining amal qilish hududida foto va video moslamalaridan foydalanish taqiqlanadi
o0542	DYHXX tomonidan harakat jarayoni foto va video kuzatuvi olingan yo'l qismini bildiradi
o0543	Chapga va orqaga
o0544	To'g'riga, chapga va orqaga
o0545	Motosikl, avtomobil, tramvay
o0546	Tramvay, avtomobil, motosikl
o0547	Yaqinni yorituvchi faralarni yoqish
o0548	O'ngroqqa olish va yaqinni yorituvchi farani yoqish zarur
o0549	Transport vositasini yo'ldan tashqariga chiqarish, agar buning iloji bo'lmasa mazkur qoidalar talablariga binoan uni belgilash lozim
o0550	Mumkin
o0551	Taqiqlangan
o0552	Chapdagi rasmda
o0553	Pastdagi rasmda
o0554	O'ngdagi rasmda
o0555	O'rtadagi va o'ngdagi rasmda
o0556	Kunning qorong'i vaqtida safda harakatlanishda
o0557	Tunellarda harakatlanishda
o0558	Faqat yetarli ko'rinmaydigan sharoitlarda
o0559	Kunning qorong'i vaqtida yuk tushirishda
o0560	Mazkur yo'nalishda ikki va undan ortiq tasma bo'lganda yo'lning faqat o'ng tarafdagi tasmasi bo'ylab harakatlanishga ruxsat etiladi
o0561	Ko'pi bilan 40 km/soat tezlikda harakat qilishga ruxsat etiladi
o0562	Agar avtobus belgilangan yo'nalish bo'yicha yursa ruxsat etiladi
o0563	"А va "Б"
o0564	"Б va "В"
o0565	Faqat belgida ko'rsatilgan yoki yuqori tezlikda harakatlanishga ruxsat beradi
o0566	Belgida ko'rsatilgandan ortiq tezlikdagi harakatni taqiqlaydi
o0567	Yo'lning shu qismida tavsiya etilgan harakatlanish tezligini ko'rsatadi
o0568	Qatnov qismining iloji boricha o'ng tomoniga o'tib to'xtashi
o0569	Falokat yorug'lik ishoralarini yoqishi va harakat tasmasini o'zgartirmagan holda tezlikni kamaytirishi va to'xtashi
o0570	Agar oldinda transport vositalari paydo bo'lsa tasmani o'zgartirmay tezlikni kamaytirishi yoki to'xtashi
o0571	Uzoqni yorituvchi chiroqni yoqishi va to'xtashi
o0572	Xavfning haydovchiga ma'lum bo'lgan paytidan tormozlash boshlanguncha avtomobilda o'tilgan masofa
o0573	Avtomobilda xavfning haydovchiga ma'lum bo'lgan paytidan boshlab to'la to'xtagunga qadar bosib o'tilgan masofan
o0574	Uzoqni yorituvchi chiroqlar
o0575	Majburiy to'xtash yoritgichi
o0576	Yoritish asboblari yoqilmaydi
o0577	Yengil avtomobilning yukxonasida
o0578	Tayyorlovchi korxona tomonidan belgilangan joylarda berk holatda
o0579	Avtomobilning kuzovida ko'rinadigan joyda
o0580	Faqat yukni kuzatib boruvchi shaxsga ruxsat etiladi
o0581	Yo'l harakati jarayonida transport vositasining haydovchisi, yo'lovchisi yoki piyoda tariqasida bevosita ishtirok etayotgan shaxs
o0582	Yo'lda bo'lgan va unda ish bajarmayotgan har qanday shaxs
o0583	Biror bir transport vositasini boshqarayotgan shaxs
o0584	Barcha yo'nalishlarga
o0585	Har ikki haydovchi
o0586	Ichida tik turgan yo'lovchilar bo'lgan avtobus
o0587	Avtokran
o0588	Bo'sh yuk avtomobili
o0589	Yuk avtomobil haydovchisi
o0590	Qisman ortish usuli bilan
o0591	Qattiq ulagich bilan
o0592	Uni qisman ortish yoki qattiq ulagichda ulash usuli bilan
o0593	Agar shatakka oluvchining haqiqiy vazni shatakka olinayotganning haqiqiy vaznidan ikki marta ko'p bo'lsa qattiq ulagichda
o0594	Bolalarni ushlab turuvchi maxsus qurilma o'rnatilgan bo'lsa ruxsat etiladi
o0595	Faqat katta yoshdagi yo'lovchi hamroh bo'lganida ruxsat etiladi
o0596	Ikkala rasmda
o0597	To'siqlarni aylanib o'tishning dastlabki ko'rsatkichi
o0598	Boshqa qatnov qismiga qayta tizilishning dastlabki ko'rsatkichi
o0599	Qarama-qarshi yo'nalish tasmasiga chiqishning boshlang'ich ko'rsatkichi
o0600	Haydovchini yo'lning xavfli qismiga yaqinlashayotganligi haqida ogohlantiradi
o0601	Qatnov qismining torayishiga yaqinlashayotganligi haqida ogohlantiradi
o0602	Yo'lning xavfli burilish yo'nalishini ko'rsatadi
o0603	Qo'lni (kunduzi-bir parcha yorqin mato yoki aniq ko'rinadigan bir narsa bilan, tunda- mash'ala yoki chiroq bilan) gir aylantirish
o0604	Qo'ldagi tayoqchani yoki qizil bayroqni boshidan yuqori ko'tarib turish
o0605	Qo'llarini oldinga uzatib turish
o0606	Oldinga uzatilgan qo'llarni yuqoriga va pastga tebratish
o0607	Ko'k, yashil, qizil avtomobillar
o0608	Ko'k, qizil avtomobilni o'tkazib yuboradi, so'ng esa burilishni tugallaydi; yashil avtomobil
o0609	Qizil, ko'k, yashil avtomobillar
o0610	Yashil, qizil, ko'k avtomobillar
o0611	Ko'k avtomobil, chunki qizil harakatlanish tasmasini chapga o'zgartiradi
o0612	Qizil avtomobil, chunki o'zaro qayta tizilishda u o'ng tomonda tasmasini uchun
o0613	Ko'k avtomobil, chunki o'zaro qayta tizilishda u chap tomonda bo'ladi
o0614	10 m
o0615	15 m
o0616	25 m
o0617	Haydovchining diqqatiga va e'tiboriga ta'sir qilmaydi
o0618	Haydovchining diqqati va e'tibori pasayadi
o0619	Haydovchining diqqati va e'tibori oshadi
o0620	Chorrahadan tashqarida tartibga solinmagan kesishmada barcha hollarda
o0621	Transport vositasi o'ngdan yaqinlashib kelganda
o0622	Ko'rsatilgan joyda velosiped va moped haydovchilari imtiyozga egadirlar
o0623	Tramvay yaqinlashib kelganda
o0624	Tramvay to'la to'xtagandan so'ng
o0625	Har qanday holda
o0626	Agar qatnov qismida transport vositalari yo'q bo'lsa tramvay yaqinlashib kelganda
o0627	Yetarli ko'rinmaydigan sharoitlarda
o0628	Mexanik transport vositasini shatakka olganda
o0629	Sanab o'tilgan barcha hollarda
o0630	Ruxsat etilgan
o0631	Ruxsat etilgan, agar motosiklchining tezligi 40 km/soatdan kam bo'lsa
o0632	Tormoz yo'li qisqaradi
o0633	Tormoz yo'li o'zgarmaydi
o0634	Tormoz yo'li ortadi
o0635	Bundan keyingi harakatni to'xtatish
o0636	Nosozlikni bartaraf etish tadbirlarini ko'rishi, agar buning imkoni bo'lmasa, zarur ehtiyot choralariga rioya qilgan holda to'xtab turish yoki ta'mirlash joyiga olib borish
o0637	Belgilangan safarni davom ettirish
o0638	Sirpanishga qarshi vositalarni qo'llab egiluvchan ulagichda faqat bitta transportga ruxsat etiladi
o0639	Faqat qattiq ulagichda ruxsat etiladi
o0640	Quvib o'tish qoidalariga rioya qilib barcha hollarda mumkin
o0641	Agar quvib o'tilayotgan transport vositalari soatiga 40 km.dan kam tezlikda harakat qilayotgan bo'lsagina mumkin
o0642	1-chiziq
o0643	2-chiziq
o0644	3-chiziq
o0645	2- va 3-chiziq
o0646	3- va 4-chiziq
o0647	Agar yaqinlashib kelayotgan poezd yo'q bo'lsa, haydovchining ixtiyoriga qarab ruxsat etiladi
o0648	Temir yo'l kesishmasi navbatchisi bo'lmagan holdagina ruxsat etiladi
o0649	"А" masofa
o0650	"Б" masofa
o0651	"А" va "Б" masofa
o0652	Shu tasmada orqada harakatlanayotgan transport vositasi quvib o'tishni boshlamaganligiga
o0653	Oldinda harakatlanayotgan transport vositasi quvib o'tish, chapga burilish (qayta tizilish) ishora bermayotganligiga
o0654	Quvib o'tishni tugatilyotganda, quvib o'tilayotgan transport vositasiga xalaqit bermasdan ilgari egallagan qatorga qaytib o'ta olishiga ishonch hosil qilishi shart
o0655	Barcha ko'rsatilgan harakatlarni bajara olishida
o0656	Yaqinni yorituvchi faralar yoki tumanga qarshi faralarni yoqishi kerak
o0657	Yurgizgich kapotini ko'tarib qo'yishi kerak
o0658	Falokat yorug'lik ishoralari yoqishi,agar u yo'q yoki nosoz bo'lsa, falokat sababli to'xtash belgisi aholi punktlarida transport vositasidan 15 metrdan, ulardan tashqarida esa 30 metrdan kam bo'lmasligi masofasida o'rnatishi kerak
o0659	Yorituvchi chiroq nurining yo'nalishi buzilganda
o0660	Ishlab chiqarilishi to'xtatilgan yengil avtomobillarga boshqa turdagi va rusumdagi transport vositalarining tashqi yoritgichlari o'rnatilgan
o0661	Tashqi yoritgichlar va nur qaytargichlar belgilangan tartibda ishlamaydi yoki ifloslangan
o0662	Bu shaxsda mazkur toifali transport vositasini boshqarishga haydovchilik guvohnomasi bo'lgan taqdirda transport vositalari egalarining fuqarolik javobgarligini majburiy sug'urta qilish bo'yicha sug'urta polisida ism-sharifi ko'rsatilgan bo'lsa yoki majburiy sug'urta qilish bo'yicha shartnoma ushbu transport vositasidan cheklanmagan shaxslarning foydalanishini hisobga olgan holda tuzilgan bo'lsa
o0663	Faqat yengil avtomobillarga ruxsat etiladi
o0664	Qattiq ulagichda ruxsat etiladi
o0665	Har qanday ulagichda ruxsat etiladi
o0666	"Yo'l bering" belgisi bilan
o0667	"To'xtamasdan harakatlanish taqiqlangan" belgisi bilan
o0668	"Yo'l bering" belgisi bilan va "To'xtamasdan harakatlanish taqiqlangan" belgisi bilan
o0669	Motosiklni o'tkazib yubordi va chorrahada qayrilib oldi
o0670	Tramvayni o'tkazib yubordi va chorrahada qayrilib oldi
o0671	Tramvayni, motosiklni o'tkazib yubordi va chorrahada qayrilib oldi
o0672	Sariq avtomobil chorrahaga kirib keladi va ko'kni o'tkazib yuborish uchun to'xtaydi; yashil; ko'k, qizil bilan bir vaqtda; sariq
o0673	Ko'k ayni vaqtda qizil bilan; yashil; sariq
o0674	Yashil; ko'k ayni vaqtda qizil bilan; sariq
o0675	Ro'paradagi transport vositasiga 100 m qolganda
o0676	Ro'paradagi transport vositasiga 150 m qolganda, shuningdek ko'proq masofada ham, agar ro'paradagi transport vositasining haydovchisi faralar chirog'ini o'chirib yoqib shuni zarur deb ko'rsatsa
o0677	Ro'paradagi transport vositasiga 250 m qolganda
o0678	Ro'paradagi transport vositasiga 300 m qolganda
o0679	50 km/s
o0680	Yara atrofidagi terini ishlash uchun
o0681	Yara o'ta ifloslanganda yaraning butun yuzasiga surtish uchun
o0682	Kuchli ishqor keltirib chiqaruvchi birinchi darajali kimyoviy kuyishda teriga surtish uchun
o0683	Bolalar guruhini tashkiliy tashishda transport vositasida katta yoshli kuzatib boruvchi bo'lishi shart
o0684	Bolalar guruhini tashkiliy tashish uchun mo'ljallangan transport vositasining old va orqa tomoniga "Bolalar guruhini tashish" taniqli belgisi o'rnatilishi kerak
o0685	Belgilangan yo'nalishdagi transport vositalariga daxli bo'lmagan avtobuslarda sakkiz va undan ortiq bolalarning tashkiliy tashilishi
o0686	Barcha sanab o'tilgan talablar
o0687	Birinchi bo'lib
o0688	Ikkinchi bo'lib
o0689	Uchinchi bo'lib
o0690	Oxirgi bo'lib
o0691	Ogohlantiruvchi "Teng ahamiyatli yo'llar kesishuvi" belgisi bilan
o0692	Barcha sanab o'tilgan belgilar bilan
o0693	Sariq
o0694	Ko'k
o0695	Yashil
o0696	Sariq chorrahaga kiradi va yashilni o'tkazib yuborish uchun to'xtaydi; ko'k qizil bilan bir vaqtda
o0697	1,5 m
o0698	Bevosita "To'xtash" yotiq chizig'i yoki belgi oldida
o0699	Faqat yo'lda tezlik cheklangan belgilar o'rnatilgan bo'lsa
o0700	Faqat harakatlanayotgan tirkamali yengil avtomobillarga
o0701	Agar u boshqa transport vositasini shatakka olgan bo'lsa
o0702	Avtobus va trolleybusda ruxsat etiladi
o0703	Yuk va yengil avtomobillarda ruxsat etiladi
o0704	Yuk avtomobili kabinasida va yengil avtomobilda ruxsat etiladi
o0705	Agar orqa oyna pardalar bilan berkitilmagan bo'lsa ruxsat etiladi
o0706	Loaqal bitta ko'zgu bo'lsa ruxsat etiladi
o0707	Chorrahalarda trotuarlar yoki yo'l yoqasi chiziqlari bo'ylab
o0708	Qatnov qismining chekkasidan to'g'ri burchak bo'ylab, ajratuvchi mintaqasiz, har ikki tomon yaxshi ko'rinadigan joylardan
o0709	Barcha sanab o'tilgan joylardan
o0710	Harakatlanish qismida
o0711	Harakatlanish qismining chetida
o0712	Harakatlanish qismining chetida yoki bordyur ustidan chiziladi
o0713	Faqat to'siq (bordyur) ustida
o0714	Avtomagistral yaxshi ko'rinadigan joylarda ruxsat etiladi
o0715	Agar bir yo'nalishda harakatlanish uchun uchta tasma bo'lsa, ruxsat etiladi
o0716	To'xtab turish "To'xtab turish joyi" yoki "Dam olish joyi" belgisi qo'yilgan maxsus maydonchalarda ruxsat etiladi
o0717	2-tramvay ayni vaqtda 1-tramvay bilan; ko'k avtomobil ayni vaqtda qizil bilan
o0718	2-tramvay; ko'k avtomobil; 1-tramvay; qizil avtomobil
o0719	Faqat aholi yashaydigan joylardan tashqarida ro'paradan kelayotgan transport vositalari bo'lmaganda
o0720	Faqat yetarli ko'rinmaydigan sharoitda
o0721	Agar bunga zaruriyat tug'ilsa, barcha joylarda
o0722	Kunning qorong'i vaqtida yo'lning barcha qismlarida
o0723	Quvib o'tish qorong'i vaqtda bajarilganda
o0724	Quvib o'tilayotgan avtomobil haydovchisi tormoz berishni boshlaganda
o0725	Quvib o'tilayotgan avtomobil haydovchisi chapga burilish ko'rsatkichini yoqqanda
o0726	Quvib o'tilayotgan avtomobil haydovchisi o'ngga burilish ko'rsatkichini yoqqanda
o0727	Avtomagistrallarga tegishli bo'lmagan yo'llarda ruxsat etiladi
o0728	Faqat yukni kuzatib boruvchi shaxslarga shu shart bilanki, ular bortlaridan pastda joylashgan o'tiradigan joy bilan ta'minlangan bo'lsalar ruxsat etiladi
o0729	Tez yordam avtomobilining haydovchisi
o0730	Yengil avtomobilining haydovchisi
o0731	Hammasini, 40 km/s dan kam tezlikda yakka harakat qilayotganlardan tashqari
o0732	Yengil avtomobillar, motosikllar va to'la vazni 3,5 t dan kam bo'lgan yuk avtomobillari. To'la vazni 3,5 t dan ko'p bo'lgan yuk avtomobillari
o0733	To'la vazni 3,5 t dan ko'p bo'lgan yuk avtomobillari
o0734	Yakka 40 km/s dan kam tezlik bilan harakat qiluvchi ikki g'ildirakli motosikllar, velosipedchilardan tashqari barcha transport vositalarini quvib o'tishni taqiqlovchi hududga
o0735	Qatnov qismining torayishiga yoki qarama-qarshi yo'nalishdan kelayotgan transport oqimini ajratuvchi 1,1 yoki 1,11 chizig'iga yaqinlashayotganini
o0736	Faqat belgilangan yo'nalishdagi transport vositalari harakati uchun mo'ljallangan qatnov qismi tasmasiga
o0737	Boshqaruv rulini burilish tomonga keskin burganda
o0738	Harakat tezligi pasayganda
o0739	Burilish radiusi kamayganda
o0740	Berilgan
o0741	Burilish markazidan boshqa tomonga siljiydi
o0742	Siljimaydi
o0743	Burilish markaziga siljiydi
o0744	Belgidan uning amal qilish hududigacha bo'lgan oraliqni aniqlash uchun
o0745	Taqiqlovchi belgi amal qilish hududini aniqlash uchun
o0746	"B"
o0747	"А" va "B"
o0748	70 km/s. dan ortmagan tezlik bilan ruxsat berilgan
o0749	Boshqarishni o'rgatuvchi yo'riqchi bilan bo'lgan o'rganuvchida yetarli boshqarish malakasi bo'lganda 60 km/soatdan ortiq bo'lmagan tezlikka ruxsat etilgan
o0750	Agar o'rganilayotgan mexanik transport vositasida taniqli belgilari qayd etilgan bo'lsa, ruxsat etilgan
o0751	Yashil; ko'k; qizil
o0752	Ko'k; qizil; yashil
o0753	Ko'k bilan yashil bir vaqtda, qizil
o0754	30 km/s
o0755	Qatnov qismining chetida
o0756	Yo'l chekkasida, yo'l yoqasidan 0,5 m masofada
o0757	Yo'l yoqasi ustida
o0758	Faqat to'xtash qoidalarini
o0759	To'xtash va to'xtab turish qoidalarini
o0760	1 mm
o0761	2 mm
o0762	3 mm
o0763	2 kun
o0764	10 kun
o0765	5 kun
o0766	15 kun
o0767	30 kun
o0768	Ulagichni ajratish, shundan keyin darhol tormoz pedalini bosish
o0769	Uzatmani almashtirish va tormoz pedalini keskin bosish
o0770	Tormoz pedalini ulagichni ajratmasdan bosish
o0771	To'la vazni 3,5 t dan ortiq bo'lgan yuk avtomobilining majburiy harakat yo'nalishini
o0772	Faqat yuk avtomobillari uchun harakat yo'nalishini
o0773	Yuk avtomobillari, traktorlar, o'ziyurar mashinalar uchun, agar chorrahada ularning harakati yo'nalishlardan biriga taqiqlangan bo'lsa, tavsiya etiladigan harakat yo'nalishini
o0774	Shaharlararo yuk tashuvchi yuk avtomobillarining harakat yo'nalishini
o0775	Ko'prik yoki solda kechimi bo'lmagan suv to'siqli yo'l qismi borligidan
o0776	Suv to'siqli yo'l qismida ochib qo'yiladigan ko'prik borligidan
o0777	Yo'l anhor yoqasiga yoki biror-bir suv havzasining qirg'og'iga chiqiladigan joyi borligidan
o0778	Qizil chorrahaga kiradi va ko'k avtomobilni o'tkazib yuborish uchun to'xtaydi va ayni vaqtda yashil avtomobil chorrahani kesib o'tadi; ko'k; qizil burilishni tugallaydi
o0779	Qizil, ko'k, yashil
o0780	Faqat "Б" avtomobil haydovchisi
o0781	Ikkalasi ham buzmoqda
o0782	Ikkalasi ham buzmayapti
o0783	Harakatning serqatnovligini, transport vositasi va yukning hususiyati va holatini
o0784	Yo'l va ob-havo sharoitini
o0785	Barcha sanab o'tilgan omillarni
o0786	Faqat kengligi bo'yicha avtopoezdning o'lchamlarini
o0787	Kengligi bo'yicha transport vositasining o'lchamlarini, shuningdek tirkamaning chayqalishini hamda uning burilish markaziga siljishini
o0788	7 yoshdan kichik bo'lmagan bolalarni tashishga ruxsat etiladi
o0789	12 yosh va undan katta bo'lgan bolalarni tashishga ruxsat etiladi
o0790	Katta yoshli yo'lovchi bo'lganda yoshidan qat'iy nazar ruxsat etiladi
o0791	Belgilangan yo'nalishdagi transport vositalarida faqat bir martalik chiptalar sotib olish uchun ruxsat etiladi
o0792	1. Yo'nalishli taksilarga
o0793	2. Taksometri ishlab turgan taksilarga
o0794	3. "Nogiron" taniqli belgisi o'rnatilgan nogiron boshqarayotgan avtomobilga
o0795	4. Belgilangan yo'nalishdagi transport vositalariga
o0796	Ikkinchi va uchunchi javoblarda ko'rsatilgan transport vositalariga
o0797	Ko'k va qizil avtomobillarning haydovchilari
o0798	Mototsikl va ko'k avtomobil haydovchilari
o0799	Faqat ko'k avtomobil haydovchilari
o0800	Barcha haydovchilar
o0801	Qatnov qismi bilan yo'l yoqasi o'rtasidagi chegarani
o0802	Tezlanish yoki sekinlanish tasmasi bilan qatnov qismi asosiy tasmasi o'rtasidagi chegarani bildiradi
o0803	Transport vositalarining to'xtashi va to'xtab turishi uchun belgilangan maydonchalarni
o0804	Faqat ro'paradan kelayotgan transport vositalari yo'qligida ruxsat etilgan
o0805	Aholi punktlarida istalgan tasma bo'ylab harakatlanishga ruxsat etiladi
o0806	Chetki o'ng tasma bo'ylab. Faqat reversiv svetofor yoki boshqa tasmalar bo'yicha ham harakatlanishga ruxsat etadigan "tasmalar bo'yicha harakatlanish yo'nalishi" belgisidan o'tgandan so'ng qayta tizilishga ruxsat etiladi
o0807	Aholi punktlaridan tashqarida qatnov qismining iloji boricha o'ng chetiga yaqinroqda
o0808	Qatnov qismi kesishmasining chekkasidan 30 metrdan ko'p qolganda
o0809	Piyodalarning o'tish joyi oldidan 10 metrdan ko'p qolganda
o0810	Piyodalar o'tish joyidan keyin 1 metr masofa uzoqlikda
o0811	Transport vositalarining harakatlanishiga imkon qoldirmaydigan kirishga yoki chiqishga va piyodalarning harakatiga xalaqit beradigan joylarda
o0812	Tormoz tepkisini keskin kuchli bosish - ulagichni ajratgan holda
o0813	Oldindan tezlikni kamaytirish, ulagichni ajratmay, bir tekis tormozlash
o0814	12 yoshga to'lgan va undan katta bolalarga ruxsat etiladi
o0815	Katta yoshdagi yo'lovchi bo'lganda ruxsat etiladi
o0816	Transport vositalari oqimi qo'shiladigan joylardagi yo'naltiruvchi orolchani
o0817	Qatnov qismidagi xavfli joylarda piyodalar uchun orolchani
o0818	Transport vositalari to'xtab turish qismining chegarasini
o0819	Transport vositalari oqimi ajraladigan joydagi yo'naltiruvchi orolchani
o0820	Faqat "Г" va "Е"
o0821	"А", "Б", "Г", "Д"
o0822	"Б", "В", "Г", "Д"
o0823	Barcha mexanik transport vositalariga
o0824	Belgilangan yo'nalishdagi transport vositalariga va taksilarga
o0825	Faqat velosipedlarga
o0826	Faqat belgilangan yo'nalishdagi transport vositalariga
o0827	Tramvay, sariq, yashil avtomobillar
o0828	Tramvay va yashil avtomobil, sariq avtomobil
o0829	Yashil, sariq avtomobillar, tramvay
o0830	Har ikki haydovchiga
o0831	Faqat mikroavtobus haydovchisiga
o0832	Har ikkisiga taqiqlangan
o0833	Hamma tomonga
o0834	O'ngga, chapga va qayrilish
o0835	Agar tramvayga to'sqinlik qilmasa ruxsat etiladi
o0836	Yo'l-yo'lakay yo'nalishdagi tramvay yo'llari bo'ylab ruxsat etiladi
o0837	Boshqa tasmalardan harakat serqatnov bo'lganda, aylanib o'tishda, yo'l-yo'lakay yo'nalishdagi tramvay yo'llari bo'ylab quvib o'tishga ruxsat etiladi.(agar chorrahadan oldin 5.8.1 yoki 5.8.2 yo'l belgilari o'rnatilmagan bo'lsa) Bunda tramvayga xalal bermaslik kerak
o0838	Ruxsat etiladi, ruxsat etilgan to'la vazni 3,5 t dan oshib ketmasa
o0839	Ruxsat etiladi, ruxsat etilgan to'la vazni 3,5 t dan ortiq bo'lsa
o0840	Ko'z sanchib og'riydi, yuz terisi oqaradi, uyqu bosadi
o0841	Yuz rangi to'q qizil tusga kiradi, qo'l-oyoqlar soviydi, ongi xiralashadi
o0842	Mushaklarda horg'inlik seziladi, quloqlarda shovqin g'uvillaydi, bosh aylanadi, muzdek yopishqoq ter chiqadi
o0843	1,0 m
o0844	2,0 m
o0845	4,0 m
o0846	Belgilangan muddatda tibbiyot ko'rigidan o'tmagan shaxslarning transport vositalarini boshqarishiga yo'l qo'ymaslikka
o0847	Texnik holati va jihozlari qoidalarning talablariga mos kelmaydigan transport vositalarini yo'lga chiqarmaslikka
o0848	Belgilangan tartibda ro'yxatdan o'tkazilmagan transport vositalarini yo'lga chiqarmaslikka
o0849	Barcha sanab o'tilganlarni bajarishga
o0850	Olib borilayotgan ishlar munosabati bilan yo'l chetida to'xtash taqiqlanadi
o0851	Yo'l yoqasida ta'mirlash ishlari olib borilayotganligi munosabati bilan unga chiqish xavfli
o0852	Yo'lda ta'mirlash ishlari olib borilayotganligida yo'l chetida to'xtab turish taqiqlanadi
o0853	Tezlanish yoki tormozlash tasmasi bilan qatnov qismidagi asosiy tasma o'rtasidagi chegarani
o0854	Avtomagistrallarda qatnov qismining chetlarini
o0855	Ro'paradan kelayotgan yoki shu yo'nalishda harakatlanayotgan transport oqimini ajratib turgan sidirg'a chiziqqa yaqinlashganlikni
o0856	To'xtashi, so'ng tramvay harakatlanganidan keyin harakatni davom ettirishi
o0857	Yo'l o'rtasidagi to'xtash joyida turgan shu yo'nalishdagi tramvayga kelayotgan yoki undan uzoqlashayotgan piyodalarga yo'l berishi
